GAME_ID,MIN_HOME,PTS_HOME,FGM_HOME,FGA_HOME,FG_PCT_HOME,FG3M_HOME,FG3A_HOME,FG3_PCT_HOME,FTM_HOME,FTA_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PLUS_MINUS_HOME,TEAM_NAME_HOME,GAME_DATE_HOME,WL_HOME,MIN_AWAY,PTS_AWAY,FGM_AWAY,FGA_AWAY,FG_PCT_AWAY,FG3M_AWAY,FG3A_AWAY,FG3_PCT_AWAY,FTM_AWAY,FTA_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PLUS_MINUS_AWAY,TEAM_NAME_AWAY,GAME_DATE_AWAY,WL_AWAY
0021500013,240.0,106.0,45.0,93.0,0.484,5.0,15.0,0.333,11.0,13.0,0.846,7.0,29.0,36.0,22.0,11.0,9.0,13.0,18.0,-6.0,San Antonio Spurs,2015-10-28 00:00:00,L,241.0,112.0,42.0,86.0,0.488,7.0,19.0,0.368,21.0,22.0,0.955,11.0,34.0,45.0,21.0,7.0,4.0,19.0,19.0,6.0,Oklahoma City Thunder,2015-10-28 00:00:00,W
0021500014,238.0,95.0,34.0,87.0,0.391,6.0,24.0,0.25,21.0,33.0,0.636,13.0,40.0,53.0,15.0,3.0,3.0,18.0,30.0,-16.0,Phoenix Suns,2015-10-28 00:00:00,L,240.0,111.0,40.0,85.0,0.471,10.0,21.0,0.476,21.0,31.0,0.677,6.0,42.0,48.0,24.0,7.0,3.0,8.0,25.0,16.0,Dallas Mavericks,2015-10-28 00:00:00,W
0021500015,240.5,94.5,35.5,87.0,0.40900000000000003,8.5,25.5,0.333,15.0,22.5,0.6575,6.5,29.5,36.0,20.0,8.0,2.5,14.5,21.5,-17.0,New Orleans Pelicans,2015-10-28 00:00:00,L,240.0,112.0,44.0,88.0,0.5,12.0,32.0,0.375,12.0,14.0,0.857,6.0,45.0,51.0,22.0,7.0,4.0,12.0,21.0,18.0,Portland Trail Blazers,2015-10-28 00:00:00,W
0021500016,240.0,111.0,42.0,80.0,0.525,6.0,19.0,0.316,21.0,31.0,0.677,6.0,36.0,42.0,20.0,8.0,9.0,15.0,19.0,7.0,LA Clippers,2015-10-28 00:00:00,W,240.0,104.0,41.0,94.0,0.436,11.0,24.0,0.458,11.0,18.0,0.611,12.0,37.0,49.0,24.0,8.0,3.0,16.0,27.0,-7.0,Sacramento Kings,2015-10-28 00:00:00,L
0021500017,240.0,111.0,35.0,90.0,0.389,9.0,34.0,0.265,32.0,35.0,0.914,12.0,36.0,48.0,18.0,2.0,4.0,13.0,29.0,-1.0,Los Angeles Lakers,2015-10-28 00:00:00,L,241.0,112.0,38.0,83.0,0.458,5.0,20.0,0.25,31.0,37.0,0.838,6.0,33.0,39.0,24.0,3.0,4.0,8.0,26.0,1.0,Minnesota Timberwolves,2015-10-28 00:00:00,W
0021500018,240.5,101.0,34.5,82.0,0.423,10.5,26.5,0.3955,21.5,27.5,0.7735,9.0,30.0,39.0,23.0,10.5,3.5,16.5,26.0,-8.0,Indiana Pacers,2015-10-29 00:00:00,L,240.5,94.0,35.0,82.0,0.427,4.5,16.0,0.2815,19.5,25.5,0.76,11.5,29.5,41.0,20.5,10.0,4.0,15.0,21.5,-10.5,Memphis Grizzlies,2015-10-29 00:00:00,W
0021500019,239.5,103.0,39.5,82.5,0.47850000000000004,9.0,25.5,0.3565,15.0,20.5,0.746,7.0,32.5,39.5,24.0,10.0,4.0,15.0,21.5,-0.5,Atlanta Hawks,2015-10-29 00:00:00,W,239.5,111.5,40.0,93.0,0.4305,7.5,26.0,0.299,24.0,28.0,0.867,17.5,31.0,48.5,22.5,10.5,5.5,16.0,26.0,7.0,New York Knicks,2015-10-29 00:00:00,L
0021500020,240.0,107.5,40.0,83.5,0.481,7.0,25.0,0.28700000000000003,20.5,32.0,0.6415,7.0,40.5,47.5,20.5,7.0,8.5,11.5,18.0,11.5,LA Clippers,2015-10-29 00:00:00,W,239.0,99.5,37.5,91.0,0.416,8.0,25.5,0.33799999999999997,16.5,23.0,0.7385,10.0,41.5,51.5,23.0,5.5,2.5,10.0,25.5,0.0,Dallas Mavericks,2015-10-29 00:00:00,L
0021500021,238.5,98.0,34.5,75.0,0.46099999999999997,9.0,20.5,0.44299999999999995,20.0,21.5,0.9305,4.0,35.5,39.5,22.0,5.0,7.0,13.0,22.5,0.0,Miami Heat,2015-10-30 00:00:00,L,239.33333333333334,101.0,39.333333333333336,88.0,0.4483333333333333,9.333333333333334,27.666666666666668,0.33266666666666667,13.0,18.333333333333332,0.6973333333333334,12.333333333333334,38.666666666666664,51.0,26.666666666666668,5.333333333333333,4.333333333333333,13.333333333333334,21.666666666666668,12.666666666666666,Cleveland Cavaliers,2015-10-30 00:00:00,W
0021500022,265.0,111.5,42.0,103.0,0.4065,8.5,29.5,0.278,19.0,25.0,0.728,15.5,37.0,52.5,22.5,9.5,8.0,15.0,26.5,-2.0,Orlando Magic,2015-10-30 00:00:00,L,266.5,125.5,46.0,98.0,0.47150000000000003,7.5,23.0,0.33199999999999996,26.0,30.0,0.8855,16.5,37.0,53.5,20.0,7.5,6.5,19.5,23.5,4.5,Oklahoma City Thunder,2015-10-30 00:00:00,W
